"","formula","AICc","R2","deltaAICc","weight"
"931","normas ~ size + nmds2 + cvn + social + prop + mating + dominance",45.2870077035466,0.628530774527653,52.0999971589147,1.74409821201708e-12
"932","normas ~ size + clima + cvn + social + prop + mating + integration",45.3350192816721,0.627041562059197,52.1480087370401,1.70272830357709e-12
"933","normas ~ nmds1 + nmds2 + clima + cvn + prop + dominance + integration",45.3563023329592,0.626379500657243,52.1692917883272,1.68470474583165e-12
"934","normas ~ size + nmds1 + nmds2 + cvn + prop + dominance + integration",45.4549036863876,0.623296896218458,52.2678931417556,1.60366181183217e-12
"935","normas ~ size + nmds1 + clima + cvn + mating + dominance + integration",45.481741980158,0.622453447659737,52.294731435526,1.58228578322922e-12
"936","normas ~ nmds2 + clima + cvn + social + prop + mating + integration",45.6333749529227,0.617652469928191,52.4463644082908,1.46675725253828e-12
"937","normas ~ size + nmds1 + nmds2 + clima + cvn + social + prop",45.7346870688085,0.614410768425679,52.5476765241765,1.39430761050255e-12
"938","normas ~ size + nmds1 + nmds2 + clima + cvn + dominance + integration",45.7568913854395,0.61369662913987,52.5698808408075,1.37891339927652e-12
"939","normas ~ size + nmds2 + clima + cvn + social + mating + integration",45.8473026768245,0.610775121688493,52.6602921321925,1.31796667533422e-12
"940","normas ~ size + nmds2 + cvn + social + prop + dominance + integration",45.9924323817604,0.606039199981023,52.8054218371284,1.22571616667205e-12
"941","normas ~ size + nmds2 + cvn + social + prop + mating + integration",46.4105734648987,0.592069628287888,53.2235629202667,9.94470103932839e-13
"942","normas ~ size + nmds2 + clima + social + prop + mating + integration",46.4894251878008,0.589380301158437,53.3024146431688,9.56025106739376e-13
"943","normas ~ size + nmds1 + nmds2 + clima + cvn + social + dominance",46.5128981342642,0.588576310562971,53.3258875896323,9.44870330573624e-13
"944","normas ~ size + nmds1 + nmds2 + clima + cvn + mating + integration",46.5533948818726,0.58718552167254,53.3663843372407,9.25930638997456e-13
"945","normas ~ size + cvn + social + prop + mating + dominance + integration",46.7044115883549,0.581957537388558,53.517401043723,8.58589541387299e-13
"946","normas ~ size + nmds1 + nmds2 + social + prop + dominance + integration",47.1800204814642,0.565056087068569,53.9930099368322,6.76874939351523e-13
"947","normas ~ size + nmds2 + clima + social + prop + dominance + integration",47.6511715952381,0.547639386238752,54.4641610506062,5.34809693893922e-13
"948","normas ~ size + nmds2 + clima + social + prop + mating + dominance",47.7043663618571,0.545629666983931,54.5173558172251,5.20772657188585e-13
"949","normas ~ size + nmds2 + clima + cvn + social + prop + mating",47.8220137977514,0.541153133593025,54.6350032531194,4.91022459941938e-13
"950","normas ~ size + nmds1 + nmds2 + clima + social + prop + integration",47.871490603828,0.539257371649378,54.684480059196,4.79024367139827e-13
"951","normas ~ nmds2 + clima + cvn + social + prop + mating + dominance",47.9195280228651,0.537409267802711,54.7325174782331,4.67655894565964e-13
"952","normas ~ size + nmds1 + nmds2 + clima + social + dominance + integration",48.4357225323101,0.517076177145602,55.2487119876781,3.61273577138263e-13
"953","normas ~ size + nmds1 + clima + cvn + social + prop + mating",49.5842669347044,0.46857028074962,56.3972563900725,2.03438409190975e-13
"954","normas ~ size + nmds1 + nmds2 + clima + prop + dominance + integration",50.13037103527,0.443826868629608,56.943360490638,1.54827446939828e-13
"955","normas ~ size + nmds1 + nmds2 + clima + social + prop + dominance",50.2592181019117,0.437822920304509,57.0722075572797,1.4516742303144e-13
"956","normas ~ nmds1 + nmds2 + clima + social + prop + dominance + integration",50.3251188322846,0.434727104049499,57.1381082876527,1.40462051013781e-13
"957","normas ~ size + clima + cvn + social + prop + mating + dominance",50.4896314275268,0.42692419714653,57.3026208828948,1.29370587236786e-13
"958","normas ~ size + nmds1 + clima + prop + mating + dominance + integration",51.046988488861,0.399679054760676,57.859977944229,9.79054800980077e-14
"959","normas ~ nmds1 + clima + social + prop + mating + dominance + integration",51.1964564954357,0.392154894906119,58.0094459508037,9.08553354434357e-14
"960","normas ~ size + nmds1 + clima + social + prop + dominance + integration",51.2000461326453,0.391973039090379,58.0130355880134,9.06924128490226e-14
"961","normas ~ size + nmds1 + clima + social + mating + dominance + integration",51.6470677168347,0.36889577497544,58.4600571722027,7.25272904091584e-14
"962","normas ~ size + nmds1 + clima + social + prop + mating + integration",51.6935369761307,0.366447124755685,58.5065264314988,7.08615717902976e-14
"963","normas ~ size + clima + social + prop + mating + dominance + integration",51.9494393414025,0.352791396775876,58.7624287967706,6.23508371204175e-14
"964","normas ~ size + nmds1 + clima + cvn + social + mating + dominance",52.1273017818088,0.34312711050307,58.9402912371768,5.70453107782359e-14
"965","normas ~ size + nmds2 + clima + cvn + social + prop + dominance",52.5606178380248,0.318974193776631,59.3736072933929,4.5933185426528e-14
"966","normas ~ size + nmds1 + social + prop + mating + dominance + integration",53.0301594536323,0.291798492720654,59.8431489090003,3.63217611391116e-14
"967","normas ~ size + nmds1 + clima + social + prop + mating + dominance",55.2513580209179,0.147793772490571,62.064347476286,1.19629904922766e-14
"968","normas ~ size + nmds1 + nmds2 + clima + social + prop + mating + integration",79.499288969183,0.780905122466086,86.312278424551,6.4933446299191e-20
"969","normas ~ nmds1 + nmds2 + cvn + social + prop + mating + dominance + integration",79.8408348955028,0.774579617132745,86.6538243508708,5.47397359067932e-20
"970","normas ~ size + nmds1 + nmds2 + social + prop + mating + dominance + integration",80.0207220870962,0.771174975446417,86.8337115424643,5.00311736076325e-20
"971","normas ~ size + nmds1 + nmds2 + cvn + social + prop + mating + integration",80.1092210626911,0.769481172274629,86.9222105180591,4.78655862113679e-20
"972","normas ~ size + nmds1 + nmds2 + clima + social + prop + mating + dominance",80.2626578492604,0.766514742029142,87.0756473046284,4.43307426872688e-20
"973","normas ~ size + nmds1 + nmds2 + clima + cvn + social + prop + mating",80.2999601833667,0.765787817356559,87.1129496387348,4.35115854651903e-20
"974","normas ~ size + nmds1 + nmds2 + clima + cvn + social + mating + dominance",80.3378478552385,0.765047169218395,87.1508373106065,4.26950675380819e-20
